edge_type,epoch,train_auc,train_aupr,val_auc,val_aupr
biomarker-connects-disease,1,0.5584486364260632,0.49177584188151546,0.5052730798916888,0.46692604182879394
biomarker-connects-disease,2,0.5690515839154993,0.5041495641060123,0.5330904366947752,0.48947268438599456
biomarker-connects-disease,3,0.5726277081443691,0.5158513219337367,0.5425549834383411,0.48605260227350855
biomarker-connects-disease,4,0.552236496982593,0.49793196725550554,0.5847194324617744,0.5216186209778968
biomarker-connects-disease,5,0.5660837031064285,0.5132343729650958,0.5827217652847786,0.5301116081113513
biomarker-connects-disease,6,0.6154772229586323,0.5487148720352316,0.5663793133285877,0.527785495766229
biomarker-connects-disease,7,0.585909750074132,0.5150305700482912,0.5318311506862907,0.4840701677476966
biomarker-connects-disease,8,0.6458623649040067,0.5754391964941407,0.5650871462836929,0.5199850552862814
biomarker-connects-disease,9,0.6181325253657153,0.5560846358979685,0.6161842768652489,0.5748896445416255
biomarker-connects-disease,10,0.6410766324846063,0.5886346024520959,0.6133403556459047,0.5793739423437156
biomarker-connects-disease,11,0.6405164227162018,0.5746660685868776,0.6233777246553547,0.5534848829933363
biomarker-connects-disease,12,0.6565561735030158,0.6136126019618255,0.6448265438800315,0.5856107844273329
biomarker-connects-disease,13,0.678684904444055,0.6265609844344029,0.618151370446986,0.5882429738401226
biomarker-connects-disease,14,0.6481991094298474,0.5707485787228489,0.6646209277990126,0.6202506897530509
biomarker-connects-disease,15,0.672589414300386,0.6234899251162478,0.6572198103052631,0.6416598913646063
biomarker-connects-disease,16,0.6486015868297087,0.6340216991877187,0.6585465889674316,0.618112111592427
biomarker-connects-disease,17,0.6494439111268469,0.6314573663372681,0.6344522884624482,0.6127518890528292
biomarker-connects-disease,18,0.6979456703256105,0.6541085080643643,0.6887198431862994,0.654474350164655
biomarker-connects-disease,19,0.6903148657101574,0.6320879392742178,0.6926690287172588,0.6656896681556393
biomarker-connects-disease,20,0.6883329156090107,0.6776748563470797,0.6929159249204799,0.6523517263222344
biomarker-connects-disease,21,0.6960070332343413,0.6721089928238689,0.6874242149796772,0.651114883936329
biomarker-connects-disease,22,0.7290736524200464,0.6942810395857749,0.6967843500111334,0.6719141119272223
biomarker-connects-disease,23,0.7155942427163964,0.6896774287257799,0.7041877749460348,0.6823467927474811
biomarker-connects-disease,24,0.7135453224475999,0.6895027328280727,0.7180878004432595,0.7131808203953813
biomarker-connects-disease,25,0.7381571467931946,0.7008878328727692,0.7056703058859363,0.6933035201020816
biomarker-connects-disease,26,0.7566429002297901,0.7407943976771216,0.7217900897709979,0.7010061551867544
biomarker-connects-disease,27,0.7549357813818942,0.7247422225990489,0.7351859393765986,0.7195533565858702
biomarker-connects-disease,28,0.7727664626348456,0.753217216637786,0.7411945161353591,0.7207794714514323
biomarker-connects-disease,29,0.7731778597992488,0.7532034297917962,0.7348900100489062,0.7244073044631391
biomarker-connects-disease,30,0.7582832737024894,0.7423587208901337,0.7279405741605818,0.7178582388763511
biomarker-connects-disease,31,0.7684930591913238,0.7515375628838843,0.7331427002368589,0.7230024334463894
biomarker-connects-disease,32,0.7778340218486395,0.7647912888778026,0.7615692215039671,0.754853358163973
biomarker-connects-disease,33,0.7573895348754611,0.7616769498722856,0.7405461251717601,0.7427787082439498
biomarker-connects-disease,34,0.788991649212132,0.7756309589249725,0.7444987718644471,0.7431978647589348
biomarker-connects-disease,35,0.7904252226196092,0.7773369455615871,0.7569762598917118,0.742613382237503
